PN; CORDENONS  ; VIA MAESTRA VECCHIA 170; VIA MAESTRA VECCHIA 170,  CORDENONS  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,74;1,695
PN; PORDENONE  ; VIALE TREVISO 38       ; VIALE TREVISO 38       ,  PORDENONE  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,74;1,67
UD; BUIA; VIA SANTO STEFANO 144  ; VIA SANTO STEFANO 144  ,  BUIA;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,739;1,699
PN; CORDOVADO  ; P.ZZA CECCHINI 1       ; P.ZZA CECCHINI 1       ,  CORDOVADO  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,739;1,699
PN; S. QUIRINO ; VIA MONTEGRAPPA 26     ; VIA MONTEGRAPPA 26     ,  S. QUIRINO ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,739;1,699
PN; SESTO AL REGHENA       ; VIA JULIA CONCORDIA 50 ; VIA JULIA CONCORDIA 50 ,  SESTO AL REGHENA       ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,739;1,699
PN; CORDENONS  ; VIA SCLAVONS 136       ; VIA SCLAVONS 136       ,  CORDENONS  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,739;1,695
UD; CERVIGNANO DEL FRIULI  ; VIA VENEZIA 6          ; VIA VENEZIA 6          ,  CERVIGNANO DEL FRIULI  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S/N;1,739;1,679
UD; CODROIPO   ; VIA LIGNANO 10         ; VIA LIGNANO 10         ,  CODROIPO   ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,739;1,669
PN; MANIAGO    ; VIA VIVARINA 25/A LOC. DANDOLO; VIA VIVARINA 25/A LOC. DANDOLO,  MANIAGO    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,739;1,669
GO; MONFALCONE ; VIA VALENTINIS 61      ; VIA VALENTINIS 61      ,  MONFALCONE ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S/N;1,738;1,683
PN; PRATA DI PORDENONE     ; VIA CROCE 6; VIA CROCE 6,  PRATA DI PORDENONE     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,737;1,692
